9.935667880937860685e-01,4.157860442042294880e-01,7.107821584021744021e-01,6.503356714810661909e-01,3.287469638428835994e-01,8.732358555299116754e-01,4.786160443243671070e-01,3.873470947779693585e-01,9.371200096519619605e-01,4.242389781309416907e-01,4.498144387612322825e-01
6.231391940037358523e-01,1.672586686066135364e-01,7.205092051092775174e-01,1.611629078545903093e-01,4.671694695401074071e-02,5.076620694688421809e-01,5.957576412571493618e-01,1.371898283272054986e-01,6.077566196718773295e-01,6.095873136168528106e-02,2.624360192963002270e-01
7.926581534285156438e-01,7.666139318078745157e-01,3.130143425593149287e-01,4.395125459774590349e-01,3.409831220129910800e-02,7.173039802887222205e-01,9.716861406121877209e-01,1.055605749425145845e-01,9.736234959072763706e-01,9.446126382699250312e-01,5.467432326211089100e-01
4.166229098572882261e-01,9.584277266017324770e-01,1.428765223495281900e-01,2.359775397315756473e-01,8.147496569751677686e-02,8.878524842724940802e-01,9.275617927068794399e-01,5.322001365486268565e-01,1.321567128004329517e-01,3.395262303600812270e-01,7.782821899774950980e-01
8.268556142067597925e-01,2.300190399644483907e-01,7.490154464805298673e-01,6.102235438914708210e-01,8.381108922369984171e-01,9.054738757998824772e-01,3.328701722956666220e-01,4.936487274833978312e-01,4.544151358981834976e-01,9.994672539254099153e-01,1.647018071201664657e-01
1.558598089876913617e-01,8.130675524088869510e-01,3.451665160731681725e-01,7.021327873431786326e-01,5.963706026421130568e-01,9.265343738561970799e-01,1.941698924994951225e-01,3.148369754771129791e-01,4.238327427304328099e-01,5.653641602231349594e-01,4.829756235197547598e-01
2.321155537163404059e-01,5.077440142489485497e-01,1.633785829674068157e-01,6.233542231680078149e-02,4.046441509792702007e-01,9.096143590342432583e-01,1.703298464292332115e-01,7.480387399570297413e-01,7.739912442730019215e-01,5.306701551384674920e-01,6.014260252917924543e-01
9.367542455576747251e-01,6.801397112468776651e-02,6.859264409299057341e-01,1.264387924239730454e-01,3.680367054382194247e-01,7.821893776478467952e-01,9.172599784297236214e-01,2.000119415061292205e-01,5.171319210322475879e-01,3.034026661216758791e-01,6.251679916027946815e-01
1.794368777218169342e-02,1.541539620738650029e-01,5.344466510210506005e-01,4.958963855073290627e-01,5.618411999013892544e-01,7.093884273902627546e-01,4.185573371100913542e-01,4.776397546017162599e-01,5.474207001156214947e-01,5.283235705220157286e-04,4.552104567785899558e-01
6.153954026981054426e-01,6.489196133338078765e-01,1.913360511330431946e-01,2.888111233313915838e-01,9.409088456029275349e-01,6.003397689200778986e-01,5.933847554980061778e-01,4.812326078267701313e-01,2.975093487787465740e-01,6.429509107864241901e-01,4.387500739425941321e-01
